data_sozdaniya_zakaza,status_perevozki,gruzootpravitel,gruzopoluchatel,tip_gruza,gorod_zagruzki,gorod_razgruzki,rasstoyanie_km,marka_model_avto,tip_kuzova,gruzopodemnost_tonn,data_viezda,planovaya_data_pribytiya,fakticheskaya_data_pribytiya,identification_otklonenie_ot_plana_dney,srok_dostavki,tonnazh_gruza_tonn,obem_gruza_m3,kolichestvo_pozitsiy,tarif_summa,sebestoimost_perevozki,pribyl
2025-07-12,Доставлена,коммерческая компания,индивидуальный предприниматель,Оборудование,Екатеринбург,Калининград,4422.46,MAN TGS,Рефрижератор,20.0,2025-07-10,2025-08-03,2025-08-09,Незначительный,2,15.15,52.31,56,495204,406718,88486
2025-07-20,Запланирована,коммерческая компания,коммерческая компания,Продукты питания,Калининград,Пермь,4686.2,Volvo FH,Бортовой,25.0,,2025-08-28,,Незначительный,0,15.65,46.91,26,607519,435050,172469
2025-08-18,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Новосибирск,Ростов-на-Дону,1774.49,Scania R-series,Бортовой,20.0,2025-07-31,2025-08-12,2025-08-30,Незначительный,1,12.49,35.89,17,247700,195674,52026
2025-08-02,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Воронеж,Екатеринбург,1505.45,Scania R-series,Тент,25.0,2025-07-01,2025-07-25,2025-08-16,Незначительный,2,20.13,56.38,91,225791,191464,34328
2025-07-23,Отменена,коммерческая компания,коммерческая компания,Стройматериалы,Воронеж,Пермь,2837.24,КАМАЗ 5490,Бортовой,20.0,,,,Незначительный,0,19.26,65.86,19,313065,197166,115900
2025-07-31,Отменена,коммерческая компания,коммерческая компания,Опасный груз,Екатеринбург,Уфа,3029.7,MAN TGS,Бортовой,10.0,,,,Незначительный,0,5.34,17.05,4,342645,270653,71992
2025-07-28,Отменена,коммерческая компания,коммерческая компания,Опасный груз,Воронеж,Санкт-Петербург,517.89,Volvo FH,Фургон,20.0,,,,Незначительный,0,15.37,42.95,33,61160,44736,16423
2025-08-06,Запланирована,коммерческая компания,коммерческая компания,Опасный груз,Уфа,Сочи,4492.58,Volvo FH,Цистерна,5.0,,2025-08-29,,Незначительный,0,3.27,9.64,71,592241,479993,112248
2025-07-28,Запланирована,коммерческая компания,некоммерческая организация,Оборудование,Москва,Уфа,1884.89,Scania R-series,Рефрижератор,10.0,,2025-08-15,,Незначительный,0,9.21,31.65,11,214145,141801,72344
2025-07-01,В пути,интернет-магазин,коммерческая компания,ТНП,Пермь,Челябинск,3856.02,MAN TGS,Бортовой,5.0,2025-07-05,2025-07-31,,Незначительный,2,4.34,14.61,100,555976,373126,182850
